name,type,phone,address,working_hours,latitude,longitude
Bravo Əhmədli,Hiper,+994 12 404 27 16,Ramiz Quliyev küçəsi 4,24/7,40.375206,49.944489
Bravo Koroğlu m/s,Hiper,+994 12 404 09 89,Heydər Əliyev prospekti 172,24/7,40.418194,49.913635
Bravo 20 Yanvar m/s,Hiper,+994 12 525 20 08,Tbilisi Prospekti 3007,24/7,40.401619,49.811024
Bravo Gənclik Mall,Super,+994 12 525 20 08,Fətəli Xan Xoyski prospekti 14,9:00 - 23:00,40.400177,49.852364
Bravo Xətai m/s,Hiper,+994 12 525 20 08,Babak prospekti,24/7,40.387726,49.874157
Bravo 28 Mall,Super,+994 12 525 20 08,Azadlıq prospekti 15А,09:00 - 23:00,40.379128,49.846539
Bravo Əsəd Əhmədov küç.,Super,+994 12 525 20 08,Əsəd Əhmədov küçəsi (Yeni Yasamal yaşayış massivi),24/7,40.393997,49.795109
Bravo Şəmkir,Super,+994 12 525 20 08,Bakı-Qazax şossesi 406-cı km,07:00 - 02:00,40.853363,46.031227
Bravo 8 Noyabr pr.,Super,+994 12 525 20 08,8 noyabr pr. 102B,07:00 - 02:00,40.373058,49.926048
Bravo Mərdəkan şossesi,Super,+994 12 525 20 08,Mərdəkan Şosesi,24/7,40.462429,50.082314
Bravo Yeni Günəşli,Super,+994 12 525 20 08,İlqar Musayev küçəsi,07:00 - 02:00,40.386593,49.975250
Bravo Ramiz Qəmbərov küç.,Super,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Ramiz Qəmbərov küçəsi 2566",08:00 - 02:00,40.412334,49.954147
Bravo Sumqayıt,Super,+994 12 525 20 08,Üzeyir Hacıbəyov küçəsi 2,08:00 - 02:00,40.573364,49.691227
Bravo Şövkət Məmmədova küç.,Super,+994 12 525 20 08,Şövkət Məmmədova küçəsi 2,24/7,40.419731,49.846649
Bravo 20-ci sahə,Super,+994 12 525 20 08,Şahlar Allahverdiyev küçəsi 6B,24/7,40.329807,49.818363
Bravo Lökbatan,Super,+994 12 525 20 08,"Lökbatan qəsəbəsi, 28 May küçəsi",24/7,40.322475,49.732838
Bravo Mirəsədulla Mirqasımov küç.,Market,+994 12 525 20 08,Mirəsədulla Mirqasımov küçəsi,07:00 - 23:00,40.395706,49.840885
Bravo Gəncə Mall,Market,+994 12 525 20 08,"Heydər Əliyev prospekti 433, Gəncə Mall 1-ci mərtəbə",09:00 - 23:00,40.677006,46.359890
Bravo Şüvəlan,Super,+994 12 525 20 08,"Şüvəlan qəsəbəsi, Polis Akademiyasının yaxınlığı",,40.486343,50.166718
Bravo Xırdalan,Super,+994 12 525 20 08,Heydər Əliyev prospekti,07:00 - 02:00,40.450523,49.744705
"Bravo ""Park Azure"" yaşayış kompleksi",Super,+994 12 525 22 28,Afiyəddin Cəlilov küçəsi 27A,07:00 - 02:00,40.379177,49.875526
Bravo Globus Center,Super,+994 12 525 22 28,Cəfər Cabbarlı küçəsi 609,07:00 - 01:00,40.385128,49.828129
Bravo Dəniz Mall,Super,+994 12 525 20 08,"Neftçilər prospekti 26A, Dəniz Mall 1-ci mərtəbəsi",09:00 - 23:00 (only in summer 09:00 - 02:00),40.358597,49.838146
"Bravo ""Sabah Residence"" yaşayış kompleksi",Market,+994 12 525 20 08,Xanlar Əliyev küçəsi 10,07:00 - 23:00,40.350815,49.832806
"Bravo ""Bağçalı şəhər"" yaşayış kompleksi",Market,+994 12 525 20 08,"Sumqayıt şəhəri, Sülh küçəsi 20B",08:00 - 23:00,40.574696,49.643204
Bravo Zefir Mall,Market,+994 12 525 20 08,"Xarici Dairəvi Yol 8, Zefir Mall 1-ci mərtəbə",09:00 - 23:00,40.376522,49.793922
"Bravo ""Şokolad Tower"" yaşayış kompleksi",Market,+994 12 525 20 08,Həsən bəy Zərdabi prospekti,07:00 - 02:00,40.380783,49.809059
Bravo Əsəd Əhmədov küç.22,Market,+994 12 525 20 08,"Əsəd Əhmədov küçəsi, Xarici Dairəvi yol 22",07:00 - 02:00,40.388050,49.787800
Bravo Şüvəlan Park,Market,+994 12 525 20 08,Almas İldırım küçəsi 68,09:00 - 23:00 (only in summer 09:00 - 00:00),40.484509,50.183918
Bravo Gəncə Avtovağzal,Market,+994 12 525 20 08,Gəncə-Şəmkir şossesi sağ tərəfi,08:00 - 23:00,40.701084,46.321404
Bravo Amburan Mall,Market,+994 12 525 20 08,"Bilgəh qəsəbəsi, Amburan Mall 1-ci mərtəbəsi",09:00 - 23:00 (only in summer 24/7),40.588303,50.058319
"Bravo ""Şərifzadə Center"" yaşayış kompleksi",Super,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 380A,07:00 - 02:00,40.383671,49.804050
Bravo Mir Cəlal küç.,Market,+994 12 404 04 80,"4-cü mkr, Mir Cəlal küçəsi 2A",07:00-23:00,40.412987,49.804237
Bravo Səməd Vurğun küç.,Super,+994 12 525 20 08,Səməd Vurğun küçəsi,07:00 - 02:00,40.386280,49.837585
Bravo A.M.Şərifzadə küç.,Market,+994 12 525 20 08,"Abbas Mirzə Şərifzadə Küçəsi 231-233, 2 saylı Bakı Tibb kollecinin yaxınlığında",07:00 - 02:00,40.398560,49.801273
Bravo Qış Parkı,Super,+994 12 525 20 08,"Məhəmməd Füzuli küçəsi, Qış parkı ilə üzbəüz",24/7,40.376831,49.835712
Bravo Babək pr.,Market,+994 12 404 04 80,"Babək prospekti 94, Sərhədçi İdman kompleksinin yaxınlığı",07:00 - 02:00,40.394787,49.963158
"Bravo ""Qəsr"" yaşayış kompleksi",Market,+994 12 525 20 08,"Masazır qəsəbəsi, Əliağa Vahid küçəsi 281",08:00 - 23:00,40.484016,49.757584
Bravo Azadlıq pr.,Super,+994 12 404 04 80,"Nərimanov rayonu, Azadlıq prospekti 145",24/7,40.401787,49.837296
Bravo İstanbul Evləri,Market,+994 12 404 04 80,"Binəqədi rayonu, Əcəmi Naxçıvani küçəsi 39L",07:00 - 02:00,40.416210,49.840031
Bravo Fətəli xan Xoyski küç.,Super,+994 12 525 20 08,"Fətəli xan Xoyski küçəsi, 5 №-li xəstəxana yaxınlığı",24/7,40.403156,49.864838
"Bravo ""Renessance Palace"" yaşayış kompleksi",Market,+994 12 525 20 08,Zahid Xəlilov Küçəsi 576,07:00 - 02:00,40.384518,49.812393
"Bravo ""Park Xətai"" yaşayış kompleksi",Market,+994 12 525 20 08,Gəncə prospekti 2942A,07:00 - 02:00,40.365807,49.959637
"Bravo ""Whitestone"" yaşayış kompleksi",Market,+994 12 525 20 08,Qarabağ küçəsi 68,07:00 - 02:00,40.391796,49.860645
"Bravo ""Roseville"" yaşayış kompleksi",Market,+994 12 525 20 08,Kazım Kazımzadə küçəsi 30,08:00 - 23:00,40.390942,49.849545
Bravo Sabit Orucov küç.,Market,+994 12 525 20 08,Sabit Orucov küçəsi 13,07:00 - 23:00,40.380573,49.866737
"Bravo Yasamal ""Asan Xidmət""",Market,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 66,07:00 - 23:00,40.378220,49.804775
Bravo Bakıxanov Mall,Market,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Yavər Əliyev küçəsi 132",08:00 - 23:00,40.432003,49.954494
Bravo Elşən Süleymanov küç.,Ekspres,+994 12 525 20 08,Elşən Süleymanov küçəsi 137A,08:00 - 02:00,40.409325,49.956383
Bravo Yavər Əliyev küç.,Market,+994 12 525 20 08,Yavər Əliyev küçəsi 10,08:00 - 23:00,40.437290,49.959236
Bravo Təbriz küç.,Market,+994 12 525 20 08,Təbriz küçəsi 41,06:00 - 02:00,40.393024,49.857925
Bravo Bilgəh,Market,+994 12 525 20 08,"Nardaran qəsəbəsi, Azərbaycan Qadını küçəsi",09:00 - 23:00 (only in summer 24/7),40.554775,50.022442
Bravo Adil İsgəndərov küç.,Market,+994 12 525 20 08,"Gəncə şəhəri, Adil İsgəndərov küçəsi 2",24/7,40.677341,46.371674
Bravo Adil Məmmədov küç.,Market,+994 12 525 20 08,Adil Məmmədov küçəsi 42C,08:00 - 23:00,40.421795,49.809044
Bravo Xəqani küç.,Ekspres,+994 12 525 20 08,Xaqani küçəsi 26/32,07:00-02:00,40.374973,49.850178
Bravo Bülbül küç.,Ekspres,+994 12 525 20 08,Bülbül prospekti 18,24/7,40.374413,49.843643
"Bravo ""Life Center"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,"Nərimanov rayonu, Əhməd Rəcəbli prospekti",07:00 - 02:00,40.403027,49.867691
Bravo Sabunçu,Ekspres,+994 12 525 20 08,"Sabunçu qəsəbəsi, №3 xəstəxana yaxınlığı",07:00 - 00:00,40.443058,49.942692
"Bravo ""Rahatlıq məkanı"" yaşayış kompleksi",Market,+994 12 525 20 08,Əlif Hacıyev küçəsi,07:00 - 02:00,40.416355,49.933159
Bravo Axundov parkı,Ekspres,+994 12 525 20 08,Əhməd Cavad küçəsi 3,07:00-07:00,40.368645,49.830395
"Bravo ""Azinko"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Əliyar Əliyev küçəsi 26,07:00 - 02:00,40.406548,49.876183
Bravo M.K.Atatürk pr.,Ekspres,+994 12 525 20 08,Mustafa Kamal Atatürk prospekti 27,24/7,40.408398,49.847549
"Bravo ""Bakı Tennis Akademiyası""",Ekspres,+994 12 525 20 08,"8-ci mkr, İbrahimpaşa Dadaşov küçəsi",07:00 - 02:00,40.422466,49.842594
Bravo Məhəmməd Xiyabani küç.,Ekspres,+994 12 525 20 08,Məhəmməd Xiyabani küçəsi 202A,07:00 - 00:00,40.399067,49.792599
Bravo Sumqayıt Dəmiryol st.,Ekspres,+994 12 525 20 08,Sumqayıt Dəmiryolu stanstiyası,06:30 - 00:00,40.561970,49.681252
Bravo Hüseyn Seyidzadə küç.,Ekspres,+994 12 525 20 08,Hüseyn Seyidzadə küçəsi 56,07:00 - 23:00,40.415878,49.819038
Bravo Xalqlar Dostluğu m/s,Ekspres,+994 12 525 20 08,Bəhruz Nuriyev küçəsi 2383,07:00 - 00:00,40.402592,49.955204
Bravo Cəmşid Naxçıvanski küç.,Ekspres,+994 12 525 20 08,Cəmşid Naxçıvanski küçəsi 51,00:00 - 00:00,40.406052,49.949257
Bravo Binəqədi,Ekspres,+994 12 525 20 08,"Binəqədi rayonu, Xarici Dairəvi küçəsi 16C",08:00 -23:00,40.430470,49.850700
Bravo Gəncə Dəmiryol st.,Ekspres,+994 12 525 20 08,Zülfü Hacıyev küçəsi 8,08:00 - 22:00,40.713882,46.367138
Bravo Sabunçu Dəmiryol st.,Ekspres,+994 12 525 20 08,Əsildar Məmmədəliyev küçəsi,07:00 - 23:00,40.446301,49.946194
Bravo Gəncə pr.,Ekspres,+994 12 525 20 08,"Əhmədli qəsəbəsi, Gəncə prospekti",07:00 - 23:00,40.358143,49.961662
Bravo Əbdülvahab Salamzadə küç.,Ekspres,+994 12 525 20 08,Əbdülvahab Salamzadə küçəsi 7,07:00 - 02:00,40.393284,49.810108
Bravo Zahid Xəlilov küç.,Ekspres,+994 12 525 20 08,Zahid Xəlilov küçəsi 568,07:00 - 02:00,40.379364,49.811714
"Bravo ""Rifah Plaza"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Mirəsədulla Mirqasımov küçəsi 8,07:00 - 00:00,40.394775,49.838371
Bravo 20 Yanvar küç.,Ekspres,+994 12 525 20 08,"Nəsimi rayonu, 20 Yanvar Küçəsi",07:00 - 23:00,40.412437,49.809032
Bravo Sahil m/s,Ekspres,+994 12 525 20 08,Xəqani küçəsi 21,07:00 - 02:00,40.373371,49.844433
Bravo Ceyhun Hacıbəyli küç.,Ekspres,+994 12 525 20 08,Ceyhun Hacıbəyli küçəsi 8,07:00 - 02:00,40.385174,49.848789
Bravo Svetlana Məmmədova küç.,Ekspres,+994 12 525 20 08,Svetlana Məmmədova küçəsi 122,07:00 - 02:00,40.424446,49.823261
"Bravo ""Park Bayıl"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Qurban Abbasov küçəsi 27,07:00 - 23:00,40.344589,49.838936
"Bravo ""Sea Breeze"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,"Nardaran qəsəbəsi, ""Sea Breeze"" yaşayış kompleksi",24/7,40.587234,49.985023
Bravo 20 Yanvar m/s,Ekspres,+994 12 525 20 08,Həsən bəy Zərdabi prospekti 811,07:00 - 23:00,40.403976,49.806622
Bravo Azərbaycan pr.,Ekspres,+994 12 525 20 08,Azərbaycan prospekti 23,07:00 - 00:00,40.372826,49.832901
Bravo Əliəşrəf Əlizadə küç.,Ekspres,+994 12 525 20 08,Əliəşrəf Əlizadə küçəsi 65,07:00 - 23:00,40.411240,49.870834
Bravo Cavadxan küç.,Ekspres,+994 12 525 20 08,Cavadxan küçəsi 4A,07:00 - 23:00,40.419746,49.818203
Bravo Bəşir Səfəroğlu küç.,Ekspres,+994 12 525 20 08,Təbriz Xəlilbəyli küçəsi 31A,24/7,40.373669,49.833820
Bravo Bəkir Çobanzadə küç.,Ekspres,+994 12 525 20 08,Bəkir Çobanzada küçəsi 46A,07:00 - 23:00,40.411163,49.931221
"Bravo ""Park City"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Rüstəm Rüstəmov küçəsi 72A,08:00 - 22:00,40.410393,49.950638
Bravo Akim Abbasov küç.,Ekspres,+994 12 525 20 08,General Akim Abbasov küçəsi 1,07:00 - 00:00,40.385593,49.804523
Bravo Sabit Rəhman küç.,Ekspres,+994 12 525 20 08,Sabit Rəhman küçəsi 82B,07:00 - 23:00,40.399803,49.833710
Bravo Məhəmməd Hadi küç. 136,Ekspres,+994 12 525 20 08,Məhəmməd Hadi küçəsi 136A,07:00 - 23:00,40.390984,49.953701
"Bravo ""Çinar Park"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Ziya Bünyadov prospekti 1965,07:00 - 23:00,40.415352,49.857815
Bravo M.F.Axundov küç.,Ekspres,+994 12 525 20 08,Mirzə Fətəli Axundov küçəsi 179,08:00 - 02:00,40.383011,49.825718
Bravo Nəsimi küç.,Ekspres,+994 12 525 20 08,"Nizami rayonu, Nəsimi küçəsi 214",07:00 - 23:00,40.414333,49.945320
Bravo Süleyman Vəzirov küç.,Ekspres,+994 12 525 20 08,Xocalı Prospekti 29,07:00 - 02:00,40.383778,49.870468
Bravo Səttar Bəhlulzadə küç.,Ekspres,+994 12 525 20 08,Səttar Bəhlulzadə küçəsi 1,07:00 - 00:00,40.413254,49.837021
Bravo A.Bakıxanov küç.,Ekspres,+994 12 525 20 08,Abbasqulu ağa Bakıxanov küçəsi 35-37,07:00 - 23:00,40.390858,49.845531
Bravo S.Ə.Şirvani küç.,Ekspres,+994 12 525 20 08,Seyid Əzim Şirvani küçəsi 29,07:00 - 00:00,40.392990,49.959721
Bravo Xan Şuşinski küç.,Ekspres,+994 12 525 20 08,Xan Şuşinski küçəsi,07:00 - 00:00,40.398853,49.836044
"Bravo ""Gülüstan Residence"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Bülbül prospekti 60,07:00 - 00:00,40.380642,49.841648
