id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
2,Bolmart Saray qəsəbəsi,bolmart-saray-qesebesi,A,,2,40.521889,49.68898,1,0,0,0,0,,,,
3,"Araz market, Saray qəsəbəsi",araz-market-saray-qesebesi,A,"Abşeron rayonu, Saray qəsəbəsi, Bakı-Sumqayıt yolu",2,40.523826,49.68749,1,1,0,0,0,,,,
4,"Azər City Supermarket, Masazır qəsəbəsi",azer-city-supermarket-masazir-qesebesi,A,"Masazır qəsəbəsi, Bakı-Sumqayıt yolunun 12-ci km",2,40.451086,49.765077,1,1,0,0,0,,,,
5,"Bazarstore, Hökməli qəsəbəsi",bazarstore-hokmeli-qesebesi,A,"Abşeron rayonu, Hökməli qəsəbəsi, Şamaxı yolu 4-cü km 6",2,40.441211,49.748114,1,0,0,0,0,,,,
6,"Araz Market,Ceyranbatan qəsəbəsi",araz-marketceyranbatan-qesebesi,A,"Bakı şəhəri, Ceyranbatan qəsəbəsi, Heydər Əliyev küçəsi 1",2,40.541575,49.661872,1,0,0,0,0,,,,
7,"Saray qəsəbəsi, Əsləm Market",eslem-market-saray-qesebesi,A,"Abşeron rayonu, Saray qəsəbəsi, M. Ə. Rəsulzadə küçəsi",2,40.530241,49.714426,1,0,0,0,0,,,,
8,"Mehdiabad bələdiyyəsi, Mehdiabad qəsəbəsi",mehdiabad-belediyyesi-mehdiabad-qesebesi,A,"Mehdiabad qəsəbəsi, 28 May küçəsi 28",2,40.496761,49.851878,1,1,0,0,0,,,,
9,"Qobu market,Qobu qəsəbəsi",qobu-marketqobu-qesebesi,A,"Abşeron rayonu, Qobu qəsəbəsi",2,40.407074,49.71291,1,0,0,0,0,,,,
10,"AS market, Novxanı qəsəbəsi",as-market-novxani-qesebesi,A,"Abşeron rayonu, Novxanı qəsəbəsi",2,40.532520,49.785090,1,0,0,0,0,,,,
11,"Petrolux YDM, Novxanı qəsəbəsi",petrolux-ydm-novxani-qesebesi,A,"Abşeron rayonu, Novxanı qəsəbəsi",2,40.557274,49.587952,1,0,0,0,0,,,,
14,"Avşar kəndi, Market",avsar-kendi-market,A,"Ağcabədi rayonu, Avşar kəndi",3,39.975206,47.428099,1,0,0,0,0,,,,
15,"Hacıbədəlli kəndi, Yolüstü market",hacibedelli-kendi-yolustu-market,A,"Ağcabədi rayonu, Hacıbədəlli kəndi",3,40.059121,47.339027,1,0,0,0,0,,,,
16,"Taxtakörpü qəsəbəsi, Laçın YDM",agcabedi-rayonu-taxtakorpu-qesebesi,A,"Ağcabədi rayonu, Taxtakörpü qəsəbəsi",3,40.102912,47.516729,1,0,0,0,0,,,,
17,"Ağcabədi şəhəri, Delfin market",agcabedi-seheri-delfin-market,A,"Ağcabədi şəhəri, H. Əliyev prospekti 372",3,40.03167555,47.45174059,1,0,0,0,0,,,,
18,"Qaradolaq kəndi, Ticarət mərkəzi",ticaret-merkezi-agcabedi-rayonu,A,"Ağcabədi rayonu, Qaradolaq kəndi",3,39.937474,47.453459,1,0,0,0,0,,,,
19,"Ticarət Mərkəzi, Ağcabədi rayonu",ticaret-merkezi-agcabedi-rayonu,A,"Ağcabədi rayonu , H. Əliyev prospekti 54",3,40.044434,47.455951,1,0,0,0,0,,,,
20,"Okean market,  Ağcabədi rayonu",okean-market-agcabedi-rayonu,A,"Ağcabədi rayonu, Ü.Hacıbəyov prospekti",3,40.052846,47.440827,1,0,0,0,0,,,,
22,"İkinci Quzanlı qəsəbəsi, Market",ikinci-quzanli-qesebesi-market,A,"Ağdam rayonu, İkinci Quzanlı qəsəbəsi",4,40.16337,47.156344,1,0,0,0,0,,,,
23,"Birinci Quzanlı qəsəbəsi, ""Nar Mobile"" mağazası",birinci-quzanli-qesebesi-nar-mobile-magazasi,A,"Ağdam rayonu, Birinci Quzanlı qəsəbəsi",4,40.155903,47.162843,1,0,0,0,0,,,,
25,"Dördyol kəndi, Dördyol market",dordyol-kendi-dordyol-market,A,"Ağdam rayonu, Dördyol kəndi",4,40.239778,47.079245,1,0,0,0,0,,,,
26,"Qaradağlı kəndi, Yaşıl market",qaradagli-kendi-yashil-market,A,"Ağdam rayonu, Qaradağlı kəndi",4,40.024936,47.071524,1,0,0,0,0,,,,
27,"Xındırıstan kəndi, Market",xindiristan-kendi-market,A,"Ağdam rayonu, Xındırıstan kəndi",4,40.121223,47.105611,1,0,0,0,0,,,,
28,"Dördyol kəndi, Ağdam Qaçqın Düşərgəsi",dordyol-kendi-agdam-qacqin-dushergesi,A,"Ağdam rayonu, Dördyol kəndi",4,40.240611,47.07601,1,0,0,0,0,,,,
29,"Bənövşələr kəndi, ""Azər Təpə"" market",benovsheler-kendi-azer-tepe-market,A,"Ağdam rayonu, Bənövşələr kəndi",4,40.124958,47.080575,1,0,0,0,0,,,,
30,Ağdaş market,agdash-sheheri-agdash-market,A,"Ağdaş rayonu, M.İsayev 16",5,40.647889,47.471253,1,0,0,0,0,,,,
31,Ağdaş filialı,agdashagdash-filiali,A,"Ağdaş rayonu, H. Əliyеv prospеkti 6",5,40.645269,47.474838,1,0,0,0,0,,,,
33,"Ləki kəndi, Vüsal market Ağdaş rayonu",leki-kendi-vusal-market-agdash-rayonu,A,"Ağdaş rayonu, Ləki kəndi, Sabir küçəsi",5,40.547085,47.422867,1,0,0,0,0,,,,
35,"Ağstafa, ""Kəsəmən"" market (Rafiq Əlicanov küçəsi)",agstafa-kesemen-market-rafiq-elicanov-kucesi,A,"Ağstafa şəhəri, Rafiq Əlicanov küçəsi",6,41.123227,45.44737,1,0,0,0,0,,,,
36,"Ağstafa, Dəmiryol vağzalı",agstafa-demiryol-vagzali,A,"Ağstafa şəhəri, M.Ə.Rasulzadə küçəsi 9",6,41.11168927007477,45.44046469831508,1,0,0,0,0,,,,
