id,name,address,short_address,latitude,longitude,type,work_hours,work_hours_weekend,cash_in,exchange
293,ATM Baş ofis 28 may,"Bakı şəh.,Nəsimi ray., Füzuli küç.71",,40.3792984904708,49.844924938477455,network_atm,24/7,,No,No
301,ATM Torqoviy,S.Vurğun küç.24-30,,40.373126,49.842285,network_atm,24/7,,Yes,No
283,ATM Mərkəz filialı,Bünyad Sərdarov küç 1.,,40.36702,49.83,network_atm,24/7,,Yes,No
297,ATM Yasamal filialı,Şərifzadə küç. 408,,40.3842547,49.8017996,network_atm,24/7,,Yes,No
290,ATM Səbail filialı,"Bakı şəh, Nəsimi r-nu. Asif Məhərrəmov küç.33",,40.4086667,49.8086603,network_atm,24/7,,Yes,No
309,ATM Qara Qarayev,Qara Qarayev ev 30A,,40.417787,49.931251,network_atm,24/7,,Yes,No
282,ATM Piramida plaza,28 May küç. 33,,40.379561,49.858012,network_atm,24/7,,Yes,No
285,ATM Space TV,H.Cavid pr.12,,40.366316,49.817296,network_atm,24/7,,No,No
334,ATM Sahil filialı,Ə.Rəcəbli küç.3,,40.403071,49.8684114,network_atm,24/7,,Yes,No
286,ATM MUM,Nigar Refibeyli 33,,40.371006,49.834559,network_atm,24/7,,No,No
346,ATM Xalqlar Dostluğu,Q.Qarayev PR.  Xalqlar Dostluğu metrosunun cənub-şərq çıxışı,,40.397205,49.952954,network_atm,24/7,,Yes,No
288,ATM Sumqayıt filialı,"Sumqayıt şəh, S.Vurğun küç.102",,40.5971341,49.6725913,network_atm,24/7,,No,No
284,ATM Bakıxanov,"Sabunçu rayonu, Sülh küç 14/2",,40.41854,49.963207,network_atm,24/7,,No,No
291,ATM Nizami filialı,Bakı şəh Xətai ray Sarayevo Kuc 26 C,,40.3870185,49.9559028,network_atm,24/7,,No,No
289,ATM Lənkəran filialı,Mirmustafaxan və Hacınəsir küç. kəsişməsi,,38.7570604,48.8478837,network_atm,24/7,,No,No
287,ATM 8-ci mkr.,"8-ci mkr,C.Xəndan küç.ev 30 66ci məhəl",,40.417306,49.838806,network_atm,24/7,,No,No
292,ATM Nəsimi filialı,Şəmsi Bədəlbəyli küç.96,,40.3770491,49.8406566,network_atm,24/7,,No,No
294,ATM N.Nərimanov metrosu,Təbriz küç. 95,,40.403503,49.870672,network_atm,24/7,,No,No
295,ATM Naxçıvan filialı,Naxçıvan şəhəri Heydər Əliyev pr.3,,39.2097241,45.4039527,network_atm,24/7,,No,No
296,ATM Şərifzadə,"Yasamal r-nu, Şərifzadə küç. 243A",,40.38625,49.803056,network_atm,24/7,,No,No
298,ATM Tibb Universiteti,Mirqasimov 1,,40.39375,49.83362,network_atm,24/7,,No,No
299,ATM Nəsimi filialı,Şəmsi bədəlbəyli küçəsi,,40.377559,49.843234,network_atm,24/7,,No,No
300,ATM 20 Yanvar,H.Zərdabi küç.31-65,,40.403517,49.807078,network_atm,24/7,,Yes,Yes
302,ATM Azadlıq-176A,Azadlıq pr.176A,,40.394625,49.840612,network_atm,24/7,,No,No
303,ATM 9-cu mkr.,"Bakı ş., Nəsimi r-nu, 3169-cu məhəllə, M.Cəlal küç., “İqtisadçı 2005” MTK",,40.41368712856011,49.80425118614605,network_atm,24/7,,No,No
304,ATM Şəki filialı,"Şəki şəhəri, M.Ə.Rəsulzadə 178",,41.201314,47.1734227,network_atm,24/7,,No,No
305,ATM Sumqayıt Karvan TM,"Sumqayıt şəh, N.Nərimanov k. ""Karvan"" Ticarət mərkəzi",,40.590392,49.675088,network_atm,24/7,,No,No
306,ATM Gəncə filialı,"Gəncə şəh, H,Əliyev PR 273",,40.6980097,46.35666,network_atm,24/7,,No,No
307,ATM Xaçmaz filialı,"Xaçmaz şəh., N.Nərimanov küç. 15 ",,41.466124,48.8016413,network_atm,24/7,,No,No
308,ATM Gənclik,Atatürk pr. 18-30,,40.401729,49.851481,network_atm,24/7,,No,No
310,ATM Şəmkir filialı,Şəmkir şəhəri Nizami küç 1,,40.830139,46.021574,network_atm,24/7,,No,No
311,ATM Neftçilər metrosu,Qara Qarayev pr.2529 məh.,,40.409981,49.94381,network_atm,24/7,,No,No
